Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
205668518,"North Sun, or The Voyage of the Whaleship Esther",Ethan Rutherford,"Rutherford, Ethan",,"=""1646053583""","=""9781646053582""",5.0,A Strange Object,Paperback,389,2025,2025,2026/08/10,2026/08/06,,,read,"More of a 4.5. Captivating and with a beautiful flow, very very subtle in many ways.",,,1,0
2059698,Pădureanca,Ioan Slavici,"Slavici, Ioan",,"=""9732107200""","=""""",5.0,Cartex 2000,Paperback,144,2004,1884,2026/08/06,2026/08/06,,,read,,,,1,0
241126782,Land,Maggie O'Farrell,"O'Farrell, Maggie",,"=""0593320646""","=""9780593320648""",0,Knopf,Hardcover,400,2026,2026,,2026/07/30,currently-reading,currently-reading (#16),currently-reading,,,,1,0
1940878,The Savage Detectives,Roberto Bolaño,"Bolaño, Roberto",Natasha Wimmer,"=""0312427484""","=""9780312427481""",5.0,Picador,Paperback,648,2008,1998,2026/07/29,2026/07/17,,,read,,,,1,0
635150,La vie devant soi,Romain Gary,"Gary, Romain",Émile Ajar,"=""""","=""""",0,Editions Gallimard,Paperback,273,1982,1975,,2026/07/29,currently-reading,currently-reading (#15),currently-reading,,,,1,0
20513005,Le Serpent,Stig Dagerman,"Dagerman, Stig","C.G. Bjurström, Hervé Coville","=""2070760073""","=""9782070760077""",0,L'Imaginaire - Gallimard,Paperback,281,2011,1945,,2026/07/13,currently-reading,currently-reading (#14),currently-reading,,,,1,0
253040257,Rebarbor,Alexandru Monciu-Sudinski,"Monciu-Sudinski, Alexandru",,"=""6306610804""","=""9786306610808""",4.0,Datagroup,Paperback,338,2026,,2026/07/13,2026/07/11,,,read,,,,1,0
237934436,Bad Habit,Alana S. Portero,"Portero, Alana S.",Mara Faye Lethem,"=""0008663335""","=""9780008663339""",5.0,Fourth Estate Ltd,Paperback,240,2025,2023,2026/07/10,2026/07/08,,,read,,,,1,0
12246557,"""Disent les imbéciles""",Nathalie Sarraute,"Sarraute, Nathalie",,"=""2070295230""","=""9782070295234""",2.0,GALLIMARD,Paperback,200,1976,1976,2026/07/08,2026/07/08,,,read,,,,1,0
225396,Jacob's Room,Virginia Woolf,"Woolf, Virginia",Suzanne Raitt,"=""039392632X""","=""9780393926323""",4.0,Norton,Paperback,324,2007,1922,2026/07/08,2021/02/21,,,read,,,,1,0
205363984,Taiwan Travelogue,Yáng Shuāng-zǐ,"Shuāng-zǐ, Yáng","楊双子, Lin King","=""1644453150""","=""9781644453155""",4.0,Graywolf Press,Paperback,298,2024,2020,2026/07/06,2026/06/20,,,read,,,,1,0
247438732,Été,Edith Wharton,"Wharton, Edith",,"=""2818066379""","=""9782818066379""",4.0,POL,,336,2026,,2026/07/02,2026/07/02,,,read,,,,1,0
1233242,Grief Lessons: Four Plays by Euripides (New York Review Books Classics),Euripides,"Euripides, Euripides",Anne Carson,"=""1590172531""","=""9781590172537""",4.0,NYRB Classics,Paperback,312,2008,-416,2026/07/01,2026/06/28,,,read,,,,1,0
242215668,Granta 175: Scandinavia (The Magazine of New Writing),Thomas Meaney,"Meaney, Thomas",,"=""1909889814""","=""9781909889811""",0,Granta Magazine,Kindle Edition,338,2026,,2026/06/28,2026/06/28,,,read,,,,1,0
202413432,Notre part de nuit,Mariana Enriquez,"Enriquez, Mariana",Anne Plantagenet,"=""2896946160""","=""9782896946167""",4.0,Alto,Mass Market Paperback,,2023,2019,2026/06/24,2026/06/19,,,read,,,,1,0
314800,Dix heures et demie du soir en été,Marguerite Duras,"Duras, Marguerite",,"=""2070376990""","=""9782070376995""",4.0,Gallimard,Paperback,151,2000,1960,2026/06/23,2026/06/22,,,read,,,,1,0
236819,"March Violets (Bernie Gunther, #1)",Philip Kerr,"Kerr, Philip",,"=""0142004146""","=""9780142004142""",0,G.P. Putnam's Sons,Paperback,245,2004,1989,,2026/05/09,did-not-finish,did-not-finish (#1),did-not-finish,,,,1,0
