Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
588495,Dracula,Bram Stoker,"Stoker, Bram","Maurice Hindle, Christopher Frayling","=""""","=""""",0,Penguin Classics,Paperback,454,2003,1897,2026/08/03,2025/08/26,,,read,,,,1,0
242254488,Bullfight (Pushkin Press Classics),Yasushi Inoue,"Inoue, Yasushi",Michael Emmerich,"=""1805332023""","=""9781805332022""",4.0,Pushkin Press Classics,Paperback,128,2026,1949,2026/07/29,2026/07/29,,,read,,,,1,0
28923,When We Were Orphans,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0571225403""","=""9780571225408""",5.0,Faber & Faber,Paperback,320,2005,2000,2026/07/29,2026/07/29,,,read,,,,1,0
57143821,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0571364888""","=""9780571364886""",0,Faber & Faber,Paperback,307,2021,2021,,2026/07/29,to-read,to-read (#337),to-read,,,,0,0
27333,Silent Spring,Rachel Carson,"Carson, Rachel",,"=""""","=""""",0,Mariner Books,Paperback,378,2002,1962,,2026/06/27,to-read,to-read (#336),to-read,,,,0,0
54254630,Season of Migration to the North,Tayeb Salih,"Salih, Tayeb",,"=""0141187204""","=""9780141187204""",0,Penguin Classics,Paperback,192,2003,1966,2026/05/21,2026/04/13,,,read,,,,1,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",0,Grove Press,Hardcover,118,2021,2021,,2026/05/03,to-read,to-read (#335),to-read,,,,0,0
20893314,A Brief History of Seven Killings,Marlon James,"James, Marlon",,"=""159448600X""","=""9781594486005""",0,Riverhead Books,Hardcover,688,2014,2014,,2026/04/23,to-read,to-read (#334),to-read,,,,0,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,Grand Central Publishing,Kindle Edition,496,2017,2017,2026/04/12,2024/09/20,,,read,,,,1,0
609478,A Month in the Country,J.L. Carr,"Carr, J.L.",,"=""""","=""""",0,Penguin Books Ltd,Paperback,104,2014,1980,2026/02/05,2026/02/05,,,read,,,,2,0
216926790,The Orchards of Basra,Mansoura Ez-Eldin,"Ez-Eldin, Mansoura",Paul Starkey,"=""1623716217""","=""9781623716219""",4.0,Interlink Books,Paperback,183,2025,2020,2025/12/26,2025/12/21,,,read,,,,1,0
125078574,Probabilistic Machine Learning: Advanced Topics (Adaptive Computation and Machine Learning series),Kevin P. Murphy,"Murphy, Kevin P.",,"=""""","=""9780262048439""",0,The MIT Press,Hardcover,1360,2023,,,2025/10/07,"to-read, textbooks","to-read (#312), textbooks (#8)",to-read,,,,0,0
21400742,Outline,Rachel Cusk,"Cusk, Rachel",,"=""0571233627""","=""9780571233625""",0,Faber & Faber,Hardcover,249,2014,2014,,2026/02/14,to-read,to-read (#333),to-read,,,,0,0
226381542,Helm,Sarah Hall,"Hall, Sarah",,"=""0063439948""","=""9780063439948""",0,Mariner Books,Hardcover,368,2025,2025,,2026/02/05,to-read,to-read (#332),to-read,,,,0,0
53223710,Heaven,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd","=""1609456211""","=""9781609456214""",0,Europa Editions,Hardcover,192,2021,2009,,2026/02/01,to-read,to-read (#331),to-read,,,,0,0
36053646,Kitchen,Banana Yoshimoto,"Yoshimoto, Banana",Megan Backus,"=""""","=""""",5.0,Faber & Faber,Paperback,160,2018,1988,2026/02/01,2024/10/07,,,read,,,,1,0
216392156,Ice,Anna Kavan,"Kavan, Anna",Christopher Priest,"=""1805330985""","=""9781805330981""",5.0,Pushkin Press Classics,Paperback,192,2025,1967,2026/01/27,2026/01/15,,,read,,,,1,0
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""1101870605""","=""9781101870600""",0,Pantheon,Hardcover,274,2019,1994,,2026/01/25,to-read,to-read (#330),to-read,,,,0,0
218703013,Revenge,Yōko Ogawa,"Ogawa, Yōko",,"=""1529949106""","=""9781529949100""",4.0,Vintage Editions,Paperback,168,2024,1998,2026/01/14,2026/01/12,,,read,,,,1,0
40655312,Heat Wave,Penelope Lively,"Lively, Penelope",,"=""""","=""""",4.0,Penguin Modern Classics,Unknown Binding,184,2018,1996,2026/01/09,2026/01/09,shelf,shelf (#40),read,,,,1,0
16631,Steppenwolf,Hermann Hesse,"Hesse, Hermann",Basil Creighton,"=""0140282580""","=""9780140282580""",0,Penguin,Paperback,256,1999,1927,,2026/01/14,to-read,to-read (#329),to-read,,,,0,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""""","=""""",0,Bantam Books,Mass Market Paperback,152,1981,1922,,2026/01/14,to-read,to-read (#328),to-read,,,,0,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",0,Harper Press,Paperback,170,2005,-500,,2026/01/14,to-read,to-read (#327),to-read,,,,0,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,Ace,Paperback,304,2000,1969,,2026/01/14,to-read,to-read (#326),to-read,,,,0,0
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,HarperVoyager,Kindle Edition,559,2025,2025,,2026/01/14,to-read,to-read (#325),to-read,,,,0,0
220450463,The Aeneid,Virgil,"Virgil, Virgil","Scott McGill, Susannah Wright, Emily Wilson","=""1324096446""","=""9781324096443""",0,Liveright,Kindle Edition,505,2025,-19,,2026/01/14,to-read,to-read (#324),to-read,,,,0,0
19351,The Epic of Gilgamesh,Unknown,"Unknown, Unknown","N.K. Sandars, John Maier, Herbert Mason, John H. Marks, Morris Jastrow Jr.","=""0141026286""","=""9780141026282""",0,Penguin Books Limited,Paperback,72,2006,-1800,,2026/01/14,to-read,to-read (#323),to-read,,,,0,0
1715,Metamorphoses,Ovid,"Ovid, Ovid","David Raeburn, Denis Feeney","=""014044789X""","=""9780140447897""",0,Penguin,Paperback,723,2004,8,,2026/01/14,to-read,to-read (#322),to-read,,,,0,0
61884838,Atalanta,Jennifer Saint,"Saint, Jennifer",,"=""1250855578""","=""9781250855572""",0,Flatiron Books,Hardcover,304,2023,2023,,2026/01/14,to-read,to-read (#321),to-read,,,,0,0
17645,The Penelopiad,Margaret Atwood,"Atwood, Margaret",,"=""1841957178""","=""9781841957173""",0,Canongate U.S.,Hardcover,198,2005,2005,,2026/01/14,to-read,to-read (#320),to-read,,,,0,0
3103,Maurice,E.M. Forster,"Forster, E.M.",,"=""0393310329""","=""9780393310320""",0,W. W. Norton  Company,Paperback,256,2005,1971,,2026/01/14,to-read,to-read (#319),to-read,,,,0,0
15055,Oranges Are Not the Only Fruit,Jeanette Winterson,"Winterson, Jeanette",,"=""""","=""""",0,Grove Press,Paperback,176,1997,1985,,2026/01/14,to-read,to-read (#318),to-read,,,,0,0
4002159,"Double Cross (Noughts & Crosses, #4)",Malorie Blackman,"Blackman, Malorie",,"=""0385615515""","=""9780385615518""",0,Doubleday Childrens,Hardcover,480,2009,2008,,2026/01/14,,,read,,,,1,0
300045,"Checkmate (Noughts & Crosses, #3)",Malorie Blackman,"Blackman, Malorie",,"=""0552551945""","=""9780552551946""",0,Corgi,Paperback,512,2006,2005,,2026/01/14,,,read,,,,1,0
300044,"Knife Edge (Noughts & Crosses, #2)",Malorie Blackman,"Blackman, Malorie",,"=""0552548928""","=""9780552548922""",0,Corgi,Paperback,364,2005,2003,,2026/01/14,,,read,,,,1,0
999346,"Naughts & Crosses (Noughts & Crosses, #1)",Malorie Blackman,"Blackman, Malorie",,"=""1416900160""","=""9781416900160""",0,Simon Schuster Books for Young Readers,Hardcover,387,2005,2001,,2026/01/14,,,read,,,,1,0
26114444,Grief Is the Thing with Feathers,Max Porter,"Porter, Max",,"=""1555977413""","=""9781555977412""",0,Graywolf Press,Paperback,128,2016,2015,,2026/01/14,to-read,to-read (#317),to-read,,,,0,0
